,id,year,make,model,trim1,trim2,make_model
77,0330073c45da,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
90,037ee0a8f566,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Overland,Jeep_Grand Cherokee
131,055d0d044e4d,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
163,0657ea4b7bb5,2016.0,Jeep,Renegade,Renegade,Limited,Jeep_Renegade
176,06d98aee602f,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Overland,Jeep_Grand Cherokee
188,076c4d58c1e4,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
192,079d03064e77,2016.0,Jeep,Compass,Compass,Sport,Jeep_Compass
203,0853fff13439,2014.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
218,08df10562b5d,2015.0,Jeep,Patriot,Patriot,Altitude Edition,Jeep_Patriot
289,0c74f69414ef,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
375,0f95a8efd406,2014.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
381,0feb26c8ed8b,2012.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
414,11b21aa509c3,2016.0,Jeep,Renegade,Renegade,Latitude,Jeep_Renegade
467,13cad6eeabe8,2015.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
484,14757ee47cd7,2016.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
535,169f5f6d8c9d,2016.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
548,1722d4174f96,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
600,198ba2c3b1a4,2016.0,Jeep,Cherokee,Cherokee,Sport,Jeep_Cherokee
608,19d181731537,2014.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
662,1c30c60bc562,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
791,2067819f9862,2013.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport,Jeep_Wrangler Unlimited
815,2182bdb9a480,2015.0,Jeep,Patriot,Patriot,Altitude Edition,Jeep_Patriot
835,2204ad7b8a20,2012.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler
850,22919c0f6f9a,2014.0,Jeep,Cherokee,Cherokee,Trailhawk,Jeep_Cherokee
862,23080874e92a,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
938,25c3d292b286,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
1004,287cc8d72bf2,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
1061,2a7943a8b2fb,2014.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Rubicon,Jeep_Wrangler Unlimited
1067,2aa7f2fca638,2015.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
1099,2bb507a4a97f,2014.0,Jeep,Wrangler,Wrangler,Rubicon,Jeep_Wrangler
1112,2c3afbcc3602,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
1125,2cc105fa090a,2016.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
1161,2db2ed0c385b,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
1187,2ea25678cd7e,2014.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Rubicon,Jeep_Wrangler Unlimited
1201,2ee93b75d6b8,2012.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
1204,2ef369e024e0,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
1305,32ff007d9505,2013.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Rubicon 10th Anniversary,Jeep_Wrangler Unlimited
1345,34defeec3ce6,2015.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
1359,357b6a09b8d8,2013.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler
1399,36b6c1747c48,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
1432,37d60555cb2e,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
1439,3824c2b80c4e,2014.0,Jeep,Cherokee,Cherokee,Trailhawk,Jeep_Cherokee
1448,387beac3c4c5,2016.0,Jeep,Compass,Compass,Sport,Jeep_Compass
1470,3954fe2e7515,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
1478,39904be0ed21,2013.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
1487,39aafbca1174,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
1528,3b0949e10c54,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
1545,3b91ada1aded,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
1586,3d5f02b3db32,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
1591,3dac3eaf2244,2015.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
1659,40127f982f55,2015.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
1731,42fc827c5021,2016.0,Jeep,Renegade,Renegade,Latitude,Jeep_Renegade
1736,431a0a9f109d,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
1769,44a308aec883,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
1798,45a123dc108c,2016.0,Jeep,Patriot,Patriot,Sport SE,Jeep_Patriot
1883,48eb45d810d8,2012.0,Jeep,Liberty,Liberty,Sport,Jeep_Liberty
2025,4df485585cde,2014.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
2119,5147c15113d2,2014.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
2140,524464bcaf6e,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
2159,52f8a7cf50fb,2015.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
2176,53b7da605aa1,2012.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
2183,53e7c620f634,2012.0,Jeep,Wrangler,Wrangler,Sport w/ Towing Pkg,Jeep_Wrangler
2220,55c6ac11ecd1,2013.0,Jeep,Wrangler,Wrangler,Rubicon,Jeep_Wrangler
2233,562706000bd7,2011.0,Jeep,Liberty,Liberty,Sport,Jeep_Liberty
2251,573c25fc25c7,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
2253,575a5173a2a8,2012.0,Jeep,Liberty,Liberty,Sport,Jeep_Liberty
2267,5804394b3d06,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
2318,5aa8476aa5e4,2012.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
2333,5b25e7d531b2,2016.0,Jeep,Compass,Compass,Sport,Jeep_Compass
2337,5b4b7ee85c94,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
2372,5d09f9c5e87f,2016.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
2398,5dfd07087933,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
2402,5e27fd49ec18,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
2428,5f288086010e,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
2448,6015cfa8bb16,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
2496,620ca49e6ba2,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
2498,620dfb778c14,2014.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
2510,62ae92c7897d,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
2516,62eb96adb87f,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
2530,637e17ca9407,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Overland,Jeep_Grand Cherokee
2564,64d35818ea5e,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
2596,66097a7f34e6,2014.0,Jeep,Wrangler,Wrangler,Rubicon X,Jeep_Wrangler
2608,66913e85a339,2015.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
2630,6752de44b721,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
2721,6a62c73d1b71,2015.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
2818,6dca21b6eada,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
2853,6f0c5cf7a231,2014.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
2865,6f8db9cf642c,2016.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
2871,6fc48d548b5e,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
2880,6ff84ad1dca6,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
2892,708dac331e48,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
2900,70bd41b8940e,2012.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
2906,70f8ff014273,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
2968,7371466be977,2013.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
2994,743dc56bb39f,2014.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Dragon,Jeep_Wrangler Unlimited
3009,74cc23eec757,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
3090,77b8b023c30d,2015.0,Jeep,Patriot,Patriot,Altitude Edition,Jeep_Patriot
3099,781c5338fe02,2016.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
3203,7c0805310162,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
3218,7c9cfb57cf2d,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
3232,7d3bf2f7b3d3,2016.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
3244,7ddef815164e,2013.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
3259,7e8718149159,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
3297,801cf5e2f726,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
3301,8032f85eb788,2015.0,Jeep,Patriot,Patriot,High Altitude Edition,Jeep_Patriot
3336,81cca64584e2,2016.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo E,Jeep_Grand Cherokee
3423,851ceb15bb97,2016.0,Jeep,Compass,Compass,Sport,Jeep_Compass
3439,85bc655a7523,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
3540,89a0d60b4d1a,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
3545,89d7b3a9e994,2015.0,Jeep,Renegade,Renegade,Latitude,Jeep_Renegade
3589,8b4dd620a381,2014.0,Jeep,Patriot,Patriot,Altitude Edition,Jeep_Patriot
3720,913c7bf7de08,2016.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
3761,92da00a87d81,2014.0,Jeep,Cherokee,Cherokee,Sport,Jeep_Cherokee
3871,979e088adfd8,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
3910,98e08ec5ca9b,2013.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
3986,9baa5c6d11eb,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
3994,9bef4e954e31,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
4008,9c89f0081902,2016.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo 75th Anniversary,Jeep_Grand Cherokee
4029,9d5ed1a7f04f,2016.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
4043,9df51dceed08,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
4088,a02fd11cc843,2014.0,Jeep,Wrangler,Wrangler,Rubicon,Jeep_Wrangler
4173,a33868bf8eef,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
4212,a4f2d86c4355,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
4266,a6cf51e0eb35,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
4281,a755bcd8ac76,2016.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
4283,a75c7e40257f,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
4336,a9467b05da80,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
4394,ab72cdcf2c96,2015.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
4428,ac7155e037d6,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
4486,aded9a4b5640,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
4508,aea009f01f97,2016.0,Jeep,Renegade,Renegade,Trailhawk,Jeep_Renegade
4537,afbd37f40b7d,2016.0,Jeep,Patriot,Patriot,High Altitude,Jeep_Patriot
4648,b3df70a10274,2016.0,Jeep,Renegade,Renegade,Limited,Jeep_Renegade
4680,b4e129f9d731,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
4688,b540ab18fdaf,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
4723,b6967cc95fe3,2011.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
4729,b713813f098c,2013.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
4756,b82f3c21600f,2016.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
4757,b8336997408f,2013.0,Jeep,Wrangler,Wrangler,Sport Towing Pkg,Jeep_Wrangler
4794,b9f9dfd85b20,2015.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
4811,ba8c0a08dc39,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
4823,baec844e39c2,2014.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
4837,bb87169507e6,2012.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara,Jeep_Wrangler Unlimited
4844,bb9a01de3e40,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
4852,bbfa80f7fdbc,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
4856,bc202073bf8c,2016.0,Jeep,Renegade,Renegade,Latitude,Jeep_Renegade
4870,bd0758aa14e9,2014.0,Jeep,Patriot,Patriot,Limited,Jeep_Patriot
4928,bef3e66e043c,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
4934,bf2fdd949118,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
4969,c0459cae777e,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
4976,c0cb200ecbb2,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Limited,Jeep_Grand Cherokee
5032,c30f1eac15bb,2013.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport,Jeep_Wrangler Unlimited
5053,c36d1dde9d96,2016.0,Jeep,Renegade,Renegade,Latitude,Jeep_Renegade
5055,c37ccc481949,2015.0,Jeep,Renegade,Renegade,Limited,Jeep_Renegade
5100,c521d9f33f8b,2016.0,Jeep,Grand Cherokee,Grand Cherokee,Overland,Jeep_Grand Cherokee
5112,c5c5798222f4,2011.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler
5151,c73ad7bc991b,2014.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
5260,cb25cbc42b5c,2013.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo,Jeep_Grand Cherokee
5265,cb69a55997df,2014.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
5296,cd28491c53f6,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
5347,cf08bd7aa1d8,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
5411,d164d0068289,2014.0,Jeep,Grand Cherokee,Grand Cherokee,Overland w/ Towing Pkg,Jeep_Grand Cherokee
5439,d28da73b49b1,2015.0,Jeep,Renegade,Renegade,Sport,Jeep_Renegade
5468,d3b903387af5,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
5508,d50cda049555,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
5555,d6ed99d0c50b,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
5579,d7c2fbba4f1a,2014.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
5615,d97dd40c0f2b,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
5628,d9c9731bc19c,2012.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
5642,da44fef27ea9,2016.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
5779,df45f644a42c,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
5797,e03403905b67,2016.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
5824,e1b23817b810,2016.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
5914,e5a3c61a642c,2014.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
5918,e5dba2f991b5,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
5958,e7c132b07fe1,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
6006,e9a3903879ea,2015.0,Jeep,Patriot,Patriot,Altitude Edition,Jeep_Patriot
6012,e9d6a681bafe,2012.0,Jeep,Liberty,Liberty,Latitude,Jeep_Liberty
6016,ea200045de01,2011.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo X,Jeep_Grand Cherokee
6036,eb0ce657d665,2015.0,Jeep,Compass,Compass,Sport,Jeep_Compass
6091,ed2c5af211bf,2014.0,Jeep,Cherokee,,,Jeep_Cherokee
6193,f10ef6fbf62d,2016.0,Jeep,Compass,Compass,Latitude,Jeep_Compass
6208,f1b6f3dbbda8,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
6227,f25f57bf1d2d,2015.0,Jeep,Cherokee,Cherokee,Trailhawk,Jeep_Cherokee
6243,f3459043718a,2015.0,Jeep,Cherokee,Cherokee,Latitude,Jeep_Cherokee
6244,f346070d243e,2014.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
6258,f3b482e091c0,2016.0,Jeep,Cherokee,Cherokee,Limited,Jeep_Cherokee
6260,f3eee6348205,2015.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport,Jeep_Wrangler Unlimited
6275,f467868a7ca7,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
6344,f75c1c5d4f92,2015.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
6406,f980b1c54da1,2015.0,Jeep,Patriot,Patriot,Sport,Jeep_Patriot
6431,fa35a1f58122,2016.0,Jeep,Compass,Compass,Sport,Jeep_Compass
6437,fa63738e1221,2015.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport,Jeep_Wrangler Unlimited
6445,fabe3d45d04a,2016.0,Jeep,Renegade,Renegade,Latitude,Jeep_Renegade
6446,fac6ee43b08a,2014.0,Jeep,Patriot,Patriot,Latitude,Jeep_Patriot
6460,fb53fc026d5e,2014.0,Jeep,Compass,Compass,Sport,Jeep_Compass
6499,fc9399fafb30,2014.0,Jeep,Wrangler,Wrangler,Freedom Edition,Jeep_Wrangler
6510,fcf850a61323,2013.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler
6511,fcfd7f672e36,2013.0,Jeep,Wrangler,Wrangler,Sahara,Jeep_Wrangler
6537,fe231fcbd0b5,2015.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport,Jeep_Wrangler Unlimited
6546,fea835a895cf,2014.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler
76,0321fac2ffb9,2013.0,Lexus,ES 300h,ES 300h,Base,Lexus_ES 300h
159,064fec0416b8,2013.0,Lexus,GX 460,GX 460,Base,Lexus_GX 460
197,07c87454317a,2015.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
239,09c07f1615b4,2014.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
293,0c992d7d6742,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
344,0e6a7d824cb1,2015.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
435,12aefcd0140f,2014.0,Lexus,IS 350,IS 350,Base w/F Sport Pkg,Lexus_IS 350
459,138d68853d7d,2015.0,Lexus,NX 300h,NX 300h,Base w/ Premium Pkg,Lexus_NX 300h
502,151c7f2d4183,2012.0,Lexus,HS 250h,HS 250h,Base,Lexus_HS 250h
512,158d0e637b3e,2013.0,Lexus,CT 200h,CT 200h,F Sport pkg,Lexus_CT 200h
544,170f22d28d13,2013.0,Lexus,LX 570,LX 570,Base,Lexus_LX 570
604,19a17d7fd5f6,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
621,1a5ca789e043,2015.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
626,1a7ec9546089,2013.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
664,1c4314b06089,2014.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
711,1d84408bf74f,2010.0,Lexus,LX 570,LX 570,,Lexus_LX 570
748,1e89e1af42e7,2016.0,Lexus,RC 300,RC 300,Base,Lexus_RC 300
763,1f6425d90390,2014.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
849,228fac10f073,2015.0,Lexus,NX 200t,NX 200t,Base,Lexus_NX 200t
885,23c088f6ec27,2015.0,Lexus,IS 350,IS 350,Base w/ F Sport Pkg,Lexus_IS 350
896,241c4ec21800,2015.0,Lexus,NX 200t,NX 200t,200t Sport Utility,Lexus_NX 200t
967,271aae3515a2,2015.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
984,27b0b5d41d6f,2014.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
1014,28d7fb5ba432,2015.0,Lexus,RX 450h,RX 450h,Base,Lexus_RX 450h
1050,2a1219eb672c,2014.0,Lexus,IS 250,IS 250,Base w/ F Sport Pkg,Lexus_IS 250
1074,2acef4fd6163,2013.0,Lexus,CT 200h,CT 200h,Base W/F Sport Pkg,Lexus_CT 200h
1077,2adf2b09c8ff,2013.0,Lexus,ES 300h,ES 300h,Base,Lexus_ES 300h
1092,2b4339ebc344,2015.0,Lexus,ES 350,ES 350,Base W/ Luxury Pkg,Lexus_ES 350
1134,2cdbf153de7a,2013.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
1142,2d1da32cc0a4,2014.0,Lexus,IS 250,IS 250,Base,Lexus_IS 250
1149,2d5283adaae4,2013.0,Lexus,RX 350,RX 350,Base W/ Premium Pkg,Lexus_RX 350
1182,2e4884c6e346,2014.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
1197,2edb549d1eca,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
1230,2fbb351bf57a,2014.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
1264,310257457262,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
1382,3627b6f4c16d,2016.0,Lexus,IS 300,IS 300,Base w/ F SPORT Pkg,Lexus_IS 300
1391,366a0ffe7793,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
1411,3718be5666cb,2013.0,Lexus,CT 200h,CT 200h,Base W/ Premium Package,Lexus_CT 200h
1425,3789e15178c7,2016.0,Lexus,IS 200t,IS 200t,Base w/ Premium Pkg,Lexus_IS 200t
1436,3806c0ca3313,2013.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
1473,3969a508af2f,2014.0,Lexus,GS 350,GS 350,Base W/ Premium Pkg,Lexus_GS 350
1535,3b45f83ba3fa,2009.0,Lexus,SC 430,SC 430,Pebble Beach Edition,Lexus_SC 430
1553,3c16409ab9db,2012.0,Lexus,IS 250C,IS 250C,Base,Lexus_IS 250C
1564,3c97961c08de,2016.0,Lexus,IS 200t,IS 200t,Base,Lexus_IS 200t
1605,3e15743b7da2,2014.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
1616,3e9159afc8dd,2014.0,Lexus,GS 350,GS 350,Base w/F Sport Pkg,Lexus_GS 350
1627,3f202616a2b9,2014.0,Lexus,ES 300h,ES 300h,Base,Lexus_ES 300h
1636,3f71f4e7a56f,2013.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
1655,3ffa310d71ce,2015.0,Lexus,ES 350,ES 350,Base w/ Premium Pkg,Lexus_ES 350
1664,402cf6e88a11,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
1697,41d8b7f7199d,2014.0,Lexus,GS 350,GS 350,Base w/premium,Lexus_GS 350
1707,424658d9f222,2015.0,Lexus,RC 350,RC 350,Base W/ Premium Pkg,Lexus_RC 350
1755,43dfc102a40e,2013.0,Lexus,RX 350,RX 350,Base W/ Premium Pkg,Lexus_RX 350
1813,46821dd2162b,2014.0,Lexus,GS 350,GS 350,Base,Lexus_GS 350
1830,475f6eb4db87,2013.0,Lexus,RX 350,RX 350,Base w/ Premium Pkg,Lexus_RX 350
1865,48598383977f,2014.0,Lexus,LS 460,LS 460,Base w/ Comfort Pkg,Lexus_LS 460
1871,488f6480a6ee,2015.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
1980,4cb8841f790d,2014.0,Lexus,GS 350,GS 350,Base,Lexus_GS 350
2002,4d6963a9ccab,2014.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
2083,4f9fb77a97be,2010.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
2097,503391a460b3,2014.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
2112,50fd25b70ef8,2013.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
2116,511fdb7bbce0,2015.0,Lexus,GX 460,GX 460,Base,Lexus_GX 460
2145,526be56216cb,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
2148,528eb34a4c29,2009.0,Lexus,LS 460,LS 460,Base,Lexus_LS 460
2193,5478eb923a2e,2014.0,Lexus,GS 450h,GS 450h,Base,Lexus_GS 450h
2211,5564efa05c58,2013.0,Lexus,GS 350,GS 350,F-Sport,Lexus_GS 350
2255,57674026f0ff,2014.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
2303,5a34d41a4601,2015.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
2338,5b51e0e14509,2015.0,Lexus,NX 200t,NX 200t,Base,Lexus_NX 200t
2369,5cfb82e95ccf,2010.0,Lexus,ES 350,ES 350,Base,Lexus_ES 350
2392,5dcb3197c17c,2016.0,Lexus,GS 200t,GS 200t,Base,Lexus_GS 200t
2468,6127e58a6ccd,2013.0,Lexus,ES 350,ES 350,,Lexus_ES 350
2551,6456932f500b,2014.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
2610,669470b49011,2013.0,Lexus,RX 350,RX 350,Base,Lexus_RX 350
2611,669e72c7d5ad,2013.0,Lexus,CT 200h,CT 200h,Base,Lexus_CT 200h
2633,6779e3639365,2015.0,Lexus,RC 350,RC 350,Base w/ F-Sport Pkg,Lexus_RC 350
2683,695a00c78b00,2012.0,Lexus,CT 200h,CT 200h,Premium F-Sport,Lexus_CT 200h
2708,6a0fa28fae2e,2013.0,Lexus,RX 450h,RX 450h,Base,Lexus_RX 450h
